"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
01.02.26;16:08:32;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:10:45;P700-Cal.;SK;S_260201_161045; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:10:54;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:10:54;Manual;SK;S_260201_161054; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:10:55;Fo-Det.;Fo;;n.c.;0;;0.0000;0.2552;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:10:55;Fm-Det.;SP;F_260201_161055_0;n.c.;0;;0.0000;0.2552;1.2426;;0.2547;0.795;;;0.000;0.205;0.000;0.000;0.000;1.000;1.000;0.205;1.000;-0.012;1.584;;;;;
01.02.26;16:11:05;Pm.-Det.;SP;F_260201_161105_0;n.c.;0;;0.0000;0.2543;1.2205;;0.2834;0.768;;;0.000;0.228;0.004;0.018;0.021;0.970;0.870;0.228;0.982;1.694;1.983;0.146;0.854;0.000;0.000;
01.02.26;16:11:39;P.+F. SP;SP;F_260201_161139_0;n.c.;14;;0.0000;0.2404;0.9566;;0.3447;0.640;;;3.761;0.277;0.083;0.299;0.275;0.854;0.596;0.277;0.770;0.040;1.625;0.799;0.020;0.181;4.698;
01.02.26;16:12:09;P.+F. SP;SP;F_260201_161209_0;n.c.;23;;0.0000;0.2310;0.8227;;0.3232;0.607;;;5.865;0.260;0.133;0.510;0.401;0.844;0.603;0.260;0.662;0.053;1.608;0.784;0.027;0.189;7.575;
01.02.26;16:12:39;P.+F. SP;SP;F_260201_161239_0;n.c.;36;;0.0000;0.2281;0.7877;;0.3160;0.599;;;9.055;0.254;0.147;0.578;0.433;0.843;0.609;0.254;0.634;0.081;1.564;0.748;0.041;0.211;11.308;
01.02.26;16:13:09;P.+F. SP;SP;F_260201_161309_0;n.c.;86;;0.0000;0.2137;0.6384;;0.3114;0.512;;;18.502;0.251;0.237;0.947;0.570;0.770;0.528;0.251;0.514;0.247;1.704;0.735;0.125;0.141;26.537;
01.02.26;16:13:39;P.+F. SP;SP;F_260201_161339_0;n.c.;157;;0.0000;0.2026;0.5487;;0.3211;0.415;;;27.360;0.258;0.327;1.265;0.649;0.658;0.415;0.258;0.442;0.425;1.757;0.672;0.214;0.114;44.304;
01.02.26;16:14:09;P.+F. SP;SP;F_260201_161409_0;n.c.;211;;0.0000;0.1981;0.5173;;0.3259;0.370;;;32.790;0.262;0.368;1.402;0.677;0.600;0.365;0.262;0.416;0.559;1.719;0.585;0.282;0.133;51.800;
01.02.26;16:14:39;P.+F. SP;SP;F_260201_161439_0;n.c.;365;;0.0000;0.1901;0.4660;;0.3606;0.226;;;34.676;0.290;0.484;1.667;0.721;0.382;0.201;0.290;0.375;0.977;1.859;0.445;0.493;0.063;68.187;
01.02.26;16:15:09;P.+F. SP;SP;F_260201_161509_0;n.c.;577;;0.0000;0.1865;0.4447;;0.3834;0.138;;;33.412;0.309;0.554;1.794;0.739;0.237;0.116;0.309;0.358;1.293;1.899;0.306;0.652;0.042;74.082;
01.02.26;16:15:39;P.+F. SP;SP;F_260201_161539_0;n.c.;902;;0.0000;0.1845;0.4335;;0.3984;0.081;;;30.679;0.321;0.598;1.867;0.748;0.141;0.065;0.321;0.349;1.510;1.880;0.186;0.761;0.052;70.638;
01.02.26;16:16:09;P.+F. SP;SP;F_260201_161609_0;n.c.;1394;;0.0000;0.1829;0.4248;;0.4053;0.046;;;26.916;0.326;0.628;1.925;0.755;0.081;0.036;0.326;0.342;1.664;1.886;0.112;0.839;0.049;65.474;
01.02.26;16:16:39;P.+F. SP;SP;F_260201_161639_0;n.c.;1731;;0.0000;0.1816;0.4180;;0.4029;0.036;;;26.308;0.324;0.640;1.972;0.761;0.064;0.029;0.324;0.336;1.701;1.859;0.080;0.858;0.062;58.159;
01.02.26;16:17:09;P.+F. SP;SP;F_260201_161709_0;n.c.;2158;;0.0000;0.1804;0.4116;;0.4010;0.026;;;23.407;0.323;0.651;2.019;0.766;0.046;0.021;0.323;0.331;1.729;1.846;0.059;0.872;0.069;53.706;
01.02.26;16:17:39;P.+F. SP;SP;F_260201_161739_0;n.c.;2664;;0.0000;0.1792;0.4055;;0.3977;0.019;;;21.669;0.320;0.661;2.064;0.771;0.035;0.016;0.320;0.326;1.757;1.839;0.042;0.886;0.073;46.555;
01.02.26;16:18:09;P.+F. SP;SP;F_260201_161809_0;n.c.;3250;;0.0000;0.1778;0.3983;;0.3934;0.013;;;17.068;0.317;0.671;2.120;0.777;0.023;0.010;0.317;0.321;1.780;1.812;0.016;0.897;0.086;22.419;
01.02.26;16:18:12;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
