"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
01.02.26;16:44:16;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:48:56;P700-Cal.;SK;S_260201_164856; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:49:05;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:49:05;Manual;SK;S_260201_164905; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:49:06;Fo-Det.;Fo;;n.c.;0;;0.0000;0.2926;;;;;;;;;;;;;;;;;;;;;;
01.02.26;16:49:06;Fm-Det.;SP;F_260201_164906_0;n.c.;0;;0.0000;0.2926;1.5898;;0.3069;0.816;;;0.000;0.193;0.000;0.000;0.000;0.989;0.943;0.193;1.000;0.639;2.361;;;;;
01.02.26;16:49:14;Pm.-Det.;SP;F_260201_164914_0;n.c.;0;;0.0000;0.2909;1.5396;;0.3295;0.786;;;0.000;0.207;0.007;0.033;0.037;0.969;0.856;0.207;0.968;1.787;2.356;0.241;0.759;-0.000;0.000;
01.02.26;16:49:48;P.+F. SP;SP;F_260201_164948_0;n.c.;14;;0.0000;0.2736;1.1538;;0.4078;0.647;;;3.802;0.257;0.097;0.378;0.321;0.848;0.569;0.257;0.726;0.054;1.693;0.696;0.023;0.281;4.091;
01.02.26;16:50:18;P.+F. SP;SP;F_260201_165018_0;n.c.;23;;0.0000;0.2737;1.1560;;0.4002;0.654;;;6.316;0.252;0.094;0.375;0.320;0.857;0.586;0.252;0.727;0.070;1.661;0.675;0.030;0.295;6.524;
01.02.26;16:50:48;P.+F. SP;SP;F_260201_165048_0;n.c.;36;;0.0000;0.2768;1.2122;;0.3892;0.679;;;10.266;0.245;0.076;0.311;0.279;0.880;0.626;0.245;0.763;0.062;1.585;0.647;0.026;0.327;9.776;
01.02.26;16:51:18;P.+F. SP;SP;F_260201_165118_0;n.c.;86;;0.0000;0.2702;1.0957;;0.3772;0.656;;;23.686;0.237;0.107;0.451;0.364;0.870;0.624;0.237;0.689;0.176;1.688;0.642;0.075;0.284;23.182;
01.02.26;16:51:48;P.+F. SP;SP;F_260201_165148_0;n.c.;157;;0.0000;0.2599;0.9433;;0.3860;0.591;;;38.961;0.243;0.166;0.685;0.473;0.815;0.549;0.243;0.593;0.394;1.960;0.665;0.167;0.168;43.825;
01.02.26;16:52:18;P.+F. SP;SP;F_260201_165218_0;n.c.;211;;0.0000;0.2509;0.8355;;0.3893;0.534;;;47.331;0.245;0.221;0.903;0.549;0.763;0.492;0.245;0.526;0.556;2.082;0.648;0.236;0.116;57.391;
01.02.26;16:52:48;P.+F. SP;SP;F_260201_165248_0;n.c.;365;;0.0000;0.2300;0.6413;;0.4292;0.331;;;50.704;0.270;0.399;1.479;0.683;0.516;0.276;0.270;0.403;1.135;2.202;0.453;0.482;0.065;69.448;
01.02.26;16:53:18;P.+F. SP;SP;F_260201_165318_0;n.c.;577;;0.0000;0.2214;0.5782;;0.4647;0.196;;;47.590;0.292;0.511;1.749;0.725;0.318;0.152;0.292;0.364;1.570;2.228;0.279;0.666;0.055;67.683;
01.02.26;16:53:48;P.+F. SP;SP;F_260201_165348_0;n.c.;902;;0.0000;0.2172;0.5510;;0.4880;0.114;;;43.344;0.307;0.579;1.885;0.743;0.189;0.084;0.307;0.347;1.814;2.211;0.168;0.770;0.062;63.784;
01.02.26;16:54:18;P.+F. SP;SP;F_260201_165418_0;n.c.;1394;;0.0000;0.2148;0.5354;;0.5002;0.066;;;38.527;0.315;0.620;1.969;0.753;0.110;0.047;0.315;0.337;1.995;2.224;0.097;0.847;0.056;56.831;
01.02.26;16:54:48;P.+F. SP;SP;F_260201_165448_0;n.c.;1731;;0.0000;0.2133;0.5261;;0.5002;0.049;;;35.802;0.315;0.636;2.022;0.759;0.083;0.035;0.315;0.331;2.036;2.217;0.077;0.864;0.059;55.904;
01.02.26;16:55:18;P.+F. SP;SP;F_260201_165518_0;n.c.;2158;;0.0000;0.2119;0.5179;;0.5001;0.034;;;31.266;0.315;0.651;2.069;0.764;0.058;0.025;0.315;0.326;2.064;2.208;0.061;0.876;0.063;55.496;
01.02.26;16:55:48;P.+F. SP;SP;F_260201_165548_0;n.c.;2664;;0.0000;0.2107;0.5109;;0.4975;0.026;;;29.226;0.313;0.661;2.112;0.769;0.044;0.019;0.313;0.321;2.062;2.178;0.049;0.875;0.075;54.993;
01.02.26;16:56:18;P.+F. SP;SP;F_260201_165618_0;n.c.;3250;;0.0000;0.2096;0.5044;;0.4954;0.018;;;24.130;0.312;0.671;2.152;0.773;0.030;0.013;0.312;0.317;2.122;2.178;0.024;0.901;0.075;32.821;
01.02.26;16:56:21;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
