"par","yield_1","yield_2","etr_1","etr_2"
0,0.387,0.522,0,0
8,0.904,0.294,3.03744,0.98784
17,0.896,0.31,6.39744,2.2134
30,0.879,0.296,11.0754,3.7296
80,0.831,0.2,27.9216,6.72
151,0.719,0.131,45.59898,8.30802
205,0.671,0.11,57.7731,9.471
359,0.486,0.06,73.27908,9.0468
571,0.346,0.037,82.97772,8.87334
896,0.205,0.021,77.1456,7.90272
1388,0.111,0.012,64.70856,6.99552
1725,0.082,0.009,59.409,6.5205
2152,0.051,0.007,46.09584,6.32688
2658,0.041,0.004,45.77076,4.46544
3244,0.027,0,36.78696,0
