"par","yield_1","yield_2","etr_1","etr_2"
0,0.277,0.793,0,0
14,0.757,0.594,4.45116,3.49272
23,0.73,0.574,7.0518,5.54484
36,0.686,0.561,10.37232,8.48232
86,0.684,0.487,24.70608,17.59044
157,0.632,0.403,41.67408,26.57382
211,0.574,0.365,50.86788,32.3463
365,0.44,0.236,67.452,36.1788
577,0.345,0.147,83.6073,35.62398
902,0.235,0.086,89.0274,32.58024
1394,0.106,0.051,62.06088,29.85948
1731,0.159,0.037,115.59618,26.89974
2158,0.063,0.026,57.10068,23.56536
2664,0.065,0.021,72.7272,23.49648
3250,0.009,0.015,12.285,20.475
