"par","prediction"
0,0
1,0.283015301115288
2,0.558977488274239
3,0.828129119815855
4,1.09070181904502
5,1.34691688330196
6,1.59698585277234
7,1.84111104210886
8,2.07948603767025
9,2.31229616294447
10,2.53971891450584
11,2.76192437066001
12,2.97907557475224
13,3.19132889495302
14,3.39883436218808
15,3.60173598774622
16,3.80017206197648
17,3.99427543537558
18,4.18417378326476
19,4.3699898551633
20,4.55184170988095
21,4.72984293727447
22,4.90410286754262
23,5.07472676886896
24,5.24181603416228
25,5.40546835759001
26,5.56577790154951
27,5.72283545467618
28,5.87672858144466
29,6.02754176388046
30,6.1753565358631
31,6.32025161046891
32,6.4623030007704
33,6.60158413448149
34,6.738165962811
35,6.87211706386312
36,7.00350374090076
37,7.13239011576717
38,7.25883821774186
39,7.38290806808904
40,7.50465776054025
41,7.62414353793744
42,7.74141986524857
43,7.85653949915435
44,7.96955355439262
45,8.08051156703528
46,8.18946155486182
47,8.29645007498382
48,8.40152227886534
49,8.50472196487537
50,8.60609162850069
51,8.70567251033958
52,8.80350464199007
53,8.89962688993974
54,8.99407699755767
55,9.08689162528394
56,9.17810638910589
57,9.2677558974061
58,9.35587378626169
59,9.44249275327045
60,9.527644589975
61,9.61136021295225
62,9.693669693632
63,9.77460228690457
64,9.8541864585748
65,9.93244991171604
66,10.0094196119754
67,10.0851218118784
68,10.1595820741793
69,10.2328252942999
70,10.3048757218987
71,10.3757569816093
72,10.4454920929845
73,10.5141034896825
74,10.5816130379275
75,10.6480420542775
76,10.7134113227286
77,10.7777411111847
78,10.8410511873207
79,10.9033608338638
80,10.9646888633185
81,11.0250536321589
82,11.0844730545102
83,11.1429646153404
84,11.2005453831836
85,11.2572320224133
86,11.3130408050847
87,11.3679876223626
88,11.4220879955534
89,11.4753570867554
90,11.5278097091434
91,11.5794603369029
92,11.6303231148264
93,11.680411867586
94,11.7297401086945
95,11.778321049168
96,11.8261676059002
97,11.8732924097611
98,11.9197078134285
99,11.9654258989651
100,12.010458485149
101,12.054817134567
102,12.0985131604807
103,12.1415576334726
104,12.1839613878812
105,12.2257350280327
106,12.2668889342763
107,12.3074332688309
108,12.3473779814499
109,12.3867328149103
110,12.4255073103326
111,12.4637108123381
112,12.5013524740484
113,12.5384412619336
114,12.5749859605134
115,12.6109951769183
116,12.6464773453128
117,12.6814407311886
118,12.7158934355296
119,12.7498433988546
120,12.7832984051418
121,12.8162660856387
122,12.8487539225608
123,12.8807692526845
124,12.9123192708359
125,12.9434110332802
126,12.9740514610142
127,13.0042473429663
128,13.0340053391048
129,13.0633319834608
130,13.0922336870648
131,13.1207167408029
132,13.1487873181932
133,13.1764514780864
134,13.203715167291
135,13.2305842231284
136,13.2570643759176
137,13.2831612513924
138,13.3088803730547
