"par","yield_1","yield_2","etr_1","etr_2"
0,0.234,0.787,0,0
39,0.524,0.661,8.58312,10.82718
49,0.511,0.645,10.51638,13.2741
62,0.534,0.675,13.90536,17.577
113,0.481,0.654,22.82826,31.03884
185,0.503,0.65,39.0831,50.505
241,0.518,0.656,52.43196,66.40032
397,0.568,0.577,94.70832,96.20898
614,0.565,0.441,145.7022,113.72508
946,0.504,0.289,200.24928,114.82548
1453,0.356,0.175,217.25256,106.7955
1796,0.304,0.139,229.31328,104.85048
2232,0.26,0.105,243.7344,98.4312
2750,0.209,0.082,241.395,94.71
