"par","yield_1","yield_2","etr_1","etr_2"
0,0.18,0.795,0,0
14,0.851,0.651,5.00388,3.82788
23,0.813,0.606,7.85358,5.85396
36,0.803,0.622,12.14136,9.40464
86,0.759,0.602,27.41508,21.74424
157,0.752,0.549,49.58688,36.20106
211,0.72,0.516,63.8064,45.72792
365,0.492,0.325,75.4236,49.8225
577,0.294,0.196,71.24796,47.49864
902,0.194,0.115,73.49496,43.5666
1394,0.1,0.066,58.548,38.64168
1731,0.081,0.051,58.88862,37.07802
2158,0.065,0.039,58.9134,35.34804
2664,0.046,0.028,51.46848,31.32864
3250,0.039,0.02,53.235,27.3
