"par","yield_1","yield_2","etr_1","etr_2"
0,0.146,0.795,0,0
14,0.799,0.64,4.69812,3.7632
23,0.784,0.607,7.57344,5.86362
36,0.748,0.599,11.30976,9.05688
86,0.735,0.512,26.5482,18.49344
157,0.672,0.415,44.31168,27.3651
211,0.585,0.37,51.8427,32.7894
365,0.445,0.226,68.2185,34.6458
577,0.306,0.138,74.15604,33.44292
902,0.186,0.081,70.46424,30.68604
1394,0.112,0.046,65.57376,26.93208
1731,0.08,0.036,58.1616,26.17272
2158,0.059,0.026,53.47524,23.56536
2664,0.042,0.019,46.99296,21.25872
3250,0.016,0.013,21.84,17.745
