"par","prediction"
0,0
1,0.148105956328981
2,0.293492735146855
3,0.436226293371753
4,0.576370505573142
5,0.713987245313016
6,0.849136462705161
7,0.981876258396036
8,1.11226295415843
9,1.24035116027738
10,1.36619383989726
11,1.48984237048848
12,1.61134660258336
13,1.73075491592144
14,1.84811427313677
15,1.96347027111158
16,2.07686719011398
17,2.18834804083037
18,2.29795460939704
19,2.40572750052962
20,2.51170617884335
21,2.61592900845212
22,2.71843329092949
23,2.8192553017099
24,2.91843032500462
25,3.0159926873025
26,3.11197578952196
27,3.2064121378773
28,3.29933337351873
29,3.39077030100268
30,3.48075291564587
31,3.56931042981383
32,3.65647129819202
33,3.74226324208517
34,3.82671327278812
35,3.90984771406935
36,3.99169222380619
37,4.07227181480884
38,4.15161087486845
39,4.22973318606285
40,4.30666194335159
41,4.38241977249094
42,4.45702874729732
43,4.53051040628702
44,4.60288576871794
45,4.67417535005867
46,4.74439917690819
47,4.81357680138927
48,4.88172731503667
49,4.94886936220102
50,5.01502115298776
51,5.08020047575005
52,5.14442470915317
53,5.20771083382787
54,5.27007544362849
55,5.3315347565117
56,5.39210462505059
57,5.45180054659823
58,5.51063767311435
59,5.56863082066798
60,5.62579447862862
61,5.6821428185576
62,5.73768970281104
63,5.79244869286532
64,5.84643305737537
65,5.89965577997577
66,5.95212956683412
67,6.0038668539659
68,6.05487981431949
69,6.10518036463976
70,6.15478017211821
71,6.20369066083745
72,6.2519230180173
73,6.29948820006968
74,6.34639693846906
75,6.39265974544489
76,6.43828691950246
77,6.48328855077801
78,6.52767452623401
79,6.57145453470005
80,6.61463807176463
81,6.65723444452317
82,6.69925277618686
83,6.74070201055731
84,6.78159091637145
85,6.82192809152101
86,6.86172196715083
87,6.90098081164007
88,6.9397127344701
89,6.97792568998293
90,7.01562748103365
91,7.05282576254051
92,7.08952804493579
93,7.12574169752082
94,7.16147395172815
95,7.19673190429394
96,7.23152252034331
97,7.26585263639157
98,7.29972896326385
99,7.33315808893586
100,7.36614648129806
101,7.39870049084586
102,7.43082635329791
103,7.46253019214493
104,7.4938180211311
105,7.52469574667005
106,7.55516917019754
107,7.58524399046276
108,7.61492580575999
109,7.64422011610252
110,7.67313232534062
111,7.70166774322501
112,7.72983158741777
113,7.75762898545191
114,7.78506497664144
115,7.81214451394312
116,7.83887246577148
117,7.86525361776847
118,7.89129267452888
119,7.91699426128304
120,7.94236292553793
121,7.96740313867782
122,7.99211929752571
123,8.01651572586667
124,8.04059667593408
125,8.06436632985989
126,8.08782880108991
127,8.1109881357651
128,8.1338483140697
129,8.1564132515474
130,8.17868680038608
131,8.20067275067225
132,8.22237483161595
133,8.24379671274684
134,8.26494200508234
135,8.28581426226864
136,8.30641698169513
137,8.32675360558315
138,8.34682752204962
139,8.36664206614632
140,8.38620052087543
141,8.40550611818186
142,8.4245620399232
143,8.44337141881767
144,8.46193733937075
145,8.48026283878109
146,8.49835090782603
147,8.51620449172758
148,8.53382649099908
149,8.5512197622732
150,8.56838711911165
151,8.5853313327972
152,8.60205513310836
153,8.61856120907713
154,8.63485220973037
155,8.65093074481514
156,8.66679938550834
157,8.68246066511119
158,8.69791707972878
159,8.71317108893521
160,8.7282251164245
161,8.7430815506478
162,8.75774274543709
163,8.77221102061584
164,8.78648866259679
165,8.8005779249673
166,8.8144810290625
167,8.82820016452656
168,8.84173748986235
169,8.85509513296976
170,8.86827519167302
171,8.88127973423718
172,8.89411079987406
173,8.90677039923795
174,8.91926051491125
175,8.93158310188028
176,8.94374008800156
177,8.95573337445869
178,8.96756483621016
179,8.97923632242814
180,8.99074965692867
181,9.00210663859324
182,9.0133090417821
183,9.0243586167394
184,9.03525708999047
185,9.04600616473121
186,9.05660752121
187,9.06706281710218
188,9.0773736878772
189,9.08754174715877
190,9.09756858707808
191,9.10745577862018
192,9.1172048719638
193,9.12681739681467
194,9.13629486273253
195,9.14563875945189
196,9.15485055719682
197,9.16393170698974
198,9.17288364095445
199,9.18170777261349
200,9.19040549717997
201,9.1989781918439
202,9.20742721605333
203,9.2157539117902
204,9.22395960384114
205,9.23204560006331
206,9.24001319164533
207,9.2478636533635
208,9.25559824383331
209,9.2632182057564
210,9.27072476616305
211,9.27811913665033
212,9.28540251361588
213,9.29257607848757
214,9.29964099794903
215,9.30659842416116
216,9.31344949497968
217,9.32019533416886
218,9.32683705161142
219,9.33337574351481
220,9.33981249261374
221,9.34614836836929
222,9.35238442716448
223,9.35852171249639
224,9.364561255165
225,9.37050407345878
226,9.37635117333696
227,9.38210354860878
228,9.3877621811096
229,9.393328040874
230,9.39880208630591
231,9.40418526434584
232,9.40947851063532
233,9.41468274967847
234,9.41979889500092
235,9.42482784930594
236,9.42977050462811
237,9.43462774248423
238,9.43940043402186
239,9.44408944016527
240,9.44869561175903
241,9.45321978970921
242,9.4576628051222
243,9.46202547944131
244,9.46630862458103
245,9.47051304305921
246,9.47463952812693
247,9.47868886389639
248,9.4826618254666
249,9.48655917904714
250,9.4903816820798
251,9.49413008335834
252,9.49780512314631
253,9.50140753329289
254,9.50493803734704
255,9.50839735066966
256,9.51178618054402
257,9.5151052262845
258,9.51835517934348
259,9.52153672341665
