"par","yield_1","yield_2","etr_1","etr_2"
0,0.37,0.488,0,0
14,1,0.257,5.88,1.51116
23,1,0.281,9.66,2.71446
36,1,0.286,15.12,4.32432
86,1,0.247,36.12,8.92164
157,1,0.187,65.94,12.33078
211,1,0.151,88.62,13.38162
365,0.731,0.095,112.0623,14.5635
577,0.664,0.059,160.91376,14.29806
902,0.278,0.036,105.31752,13.63824
1394,0.07,0.018,40.9836,10.53864
1731,0.092,0.013,66.88584,9.45126
2158,0.058,0.01,52.56888,9.0636
2664,0.027,0.006,30.20976,6.71328
3250,0,0.005,0,6.825
