"par","yield_1","yield_2","etr_1","etr_2"
0,0.182,0.795,0,0
14,0.768,0.573,4.51584,3.36924
23,0.783,0.566,7.56378,5.46756
36,0.751,0.592,11.35512,8.95104
86,0.767,0.56,27.70404,20.2272
157,0.754,0.493,49.71876,32.50842
211,0.728,0.447,64.51536,39.61314
365,0.477,0.281,73.1241,43.0773
577,0.299,0.17,72.45966,41.1978
902,0.188,0.101,71.22192,38.26284
1394,0.121,0.058,70.84308,33.95784
1731,0.067,0.045,48.71034,32.7159
2158,0.017,0.033,15.40812,29.90988
2664,0.058,0.023,64.89504,25.73424
3250,0.03,0.016,40.95,21.84
