"par","yield_1","yield_2","etr_1","etr_2"
0,0.15,0.801,0,0
14,0.773,0.579,4.54524,3.40452
23,0.778,0.629,7.51548,6.07614
36,0.8,0.653,12.096,9.87336
86,0.742,0.611,26.80104,22.06932
157,0.644,0.498,42.46536,32.83812
211,0.606,0.421,53.70372,37.30902
365,0.535,0.258,82.0155,39.5514
577,0.454,0.15,110.02236,36.351
902,0.314,0.081,118.95576,30.68604
1394,0.191,0.043,111.82668,25.17564
1731,0.149,0.031,108.32598,22.53762
2158,0.111,0.022,100.60596,19.93992
2664,0.079,0.016,88.39152,17.90208
3250,0.051,0.01,69.615,13.65
