"par","yield_1","yield_2","etr_1","etr_2"
0,0.265,0.802,0,0
14,0.773,0.678,4.54524,3.98664
23,0.745,0.683,7.1967,6.59778
36,0.716,0.684,10.82592,10.34208
86,0.668,0.641,24.12816,23.15292
157,0.652,0.553,42.99288,36.46482
211,0.623,0.5,55.21026,44.31
365,0.419,0.306,64.2327,46.9098
577,0.258,0.184,62.52372,44.59056
902,0.152,0.107,57.58368,40.53588
1394,0.093,0.063,54.44964,36.88524
1731,0.077,0.047,55.98054,34.16994
2158,0.052,0.034,47.13072,30.81624
2664,0.045,0.024,50.3496,26.85312
3250,0.019,0.015,25.935,20.475
