"par","yield_1","yield_2","etr_1","etr_2"
0,0.388,0.8,0,0
39,0.479,0.689,7.84602,11.28582
49,0.485,0.692,9.9813,14.24136
62,0.488,0.698,12.70752,18.17592
113,0.486,0.697,23.06556,33.07962
185,0.488,0.686,37.9176,53.3022
241,0.495,0.692,50.1039,70.04424
397,0.507,0.644,84.53718,107.38056
614,0.504,0.523,129.97152,134.87124
946,0.447,0.374,177.60204,148.59768
1453,0.349,0.244,212.98074,148.90344
1796,0.304,0.195,229.31328,147.0924
2232,0.258,0.153,241.85952,143.42832
2750,0.217,0.119,250.635,137.445
