"par","prediction"
0,0
1,0.131245255030756
2,0.260855643626118
3,0.388850903494437
4,0.515250534291688
5,0.640073800492474
6,0.763339734226408
7,0.885067138080277
8,1.00527458786643
9,1.12398043535776
10,1.24120281098969
11,1.35695962652963
12,1.47126857771418
13,1.58414714685451
14,1.69561260541042
15,1.80568201653325
16,1.91437223757815
17,2.02169992258611
18,2.12768152473596
19,2.23233329876689
20,2.33567130337166
21,2.43771140356104
22,2.53846927299968
23,2.63796039631381
24,2.73620007137113
25,2.83320341153318
26,2.92898534788056
27,3.02356063141132
28,3.11694383521282
29,3.20914935660739
30,3.30019141927215
31,3.39008407533322
32,3.47884120743473
33,3.56647653078276
34,3.65300359516482
35,3.73843578694475
36,3.82278633103376
37,3.90606829283759
38,3.98829458018017
39,4.06947794520417
40,4.14963098624857
41,4.22876614970355
42,4.3068957318431
43,4.38403188063549
44,4.46018659753183
45,4.5353717392332
46,4.60959901943635
47,4.68288001055841
48,4.75522614544074
49,4.82664871903233
50,4.8971588900528
51,4.96676768263537
52,5.03548598795007
53,5.10332456580728
54,5.170294046242
55,5.23640493107902
56,5.30166759547915
57,5.36609228946683
58,5.42968913943939
59,5.49246814965795
60,5.55443920372052
61,5.61561206601719
62,5.67599638316783
63,5.73560168544249
64,5.79443738816456
65,5.85251279309715
66,5.90983708981258
67,5.96641935704553
68,6.02226856402975
69,6.07739357181869
70,6.13180313459019
71,6.18550590093547
72,6.2385104151325
73,6.29082511840412
74,6.34245835016087
75,6.39341834922894
76,6.44371325506322
77,6.49335110894577
78,6.54233985516983
79,6.59068734220954
80,6.63840132387556
81,6.68548946045673
82,6.73195931984804
83,6.77781837866487
84,6.82307402334389
85,6.86773355123067
86,6.9118041716541
87,6.95529300698797
88,6.99820709369967
89,7.04055338338621
90,7.08233874379785
91,7.1235699598493
92,7.16425373461874
93,7.20439669033485
94,7.24400536935182
95,7.28308623511273
96,7.32164567310121
97,7.35968999178168
98,7.39722542352825
99,7.43425812554237
100,7.47079418075947
101,7.5068395987446
102,7.54240031657738
103,7.57748219972611
104,7.61209104291153
105,7.64623257095998
106,7.67991243964642
107,7.71313623652718
108,7.74590948176272
109,7.77823762893044
110,7.81012606582775
111,7.84158011526532
112,7.87260503585091
113,7.90320602276368
114,7.93338820851914
115,7.96315666372491
116,7.99251639782738
117,8.02147235984931
118,8.05002943911856
119,8.07819246598807
120,8.1059662125471
121,8.13335539332392
122,8.16036466598001
123,8.18699863199592
124,8.21326183734883
125,8.23915877318191
126,8.2646938764657
127,8.28987153065141
128,8.31469606631642
129,8.33917176180191
130,8.36330284384292
131,8.3870934881907
132,8.41054782022759
133,8.43366991557451
134,8.45646380069112
135,8.47893345346869
136,8.50108280381587
137,8.52291573423739
138,8.54443608040577
139,8.56564763172613
140,8.58655413189421
141,8.60715927944761
142,8.62746672831047
143,8.64748008833149
144,8.6672029258155
145,8.68663876404863
146,8.70579108381717
147,8.72466332392004
148,8.74325888167528
149,8.76158111342028
150,8.77963333500601
151,8.79741882228534
152,8.81494081159543
153,8.83220250023429
154,8.84920704693159
155,8.86595757231388
156,8.88245715936408
157,8.89870885387547
158,8.91471566490024
159,8.93048056519263
160,8.94600649164663
161,8.96129634572853
162,8.97635299390416
163,8.99117926806104
164,9.00577796592538
165,9.02015185147413
166,9.03430365534193
167,9.04823607522334
168,9.06195177627001
169,9.07545339148323
170,9.08874352210165
171,9.10182473798437
172,9.11469957798938
173,9.12737055034745
174,9.13984013303149
175,9.15211077412152
176,9.16418489216517
177,9.17606487653381
178,9.18775308777452
179,9.19925185795764
180,9.21056349102027
181,9.22169026310554
182,9.23263442289783
183,9.24339819195393
184,9.25398376503022
185,9.2643933104059
186,9.27462897020228
187,9.28469286069833
188,9.29458707264228
189,9.30431367155956
190,9.31387469805702
191,9.32327216812341
192,9.33250807342636
193,9.34158438160564
194,9.35050303656296
195,9.3592659587483
196,9.3678750454427
197,9.37633217103773
198,9.38463918731152
199,9.39279792370151
200,9.40081018757387
201,9.40867776448972
202,9.41640241846808
203,9.4239858922457
204,9.4314299075337
205,9.43873616527121
206,9.44590634587584
207,9.45294210949121
208,9.45984509623142
209,9.4666169264227
210,9.47325920084197
211,9.47977350095268
212,9.4861613891377
213,9.49242440892946
214,9.49856408523732
215,9.50458192457212
216,9.51047941526812
217,9.51625802770221
218,9.52191921451046
219,9.52746441080214
220,9.53289503437103
221,9.53821248590431
222,9.54341814918886
223,9.54851339131507
224,9.55349956287824
225,9.5583779981775
226,9.56315001541234
227,9.5678169168768
228,9.5723799891513
229,9.57684050329215
230,9.58119971501876
231,9.58545886489865
232,9.58961917853017
233,9.593681866723
234,9.59764812567661
235,9.60151913715634
236,9.6052960686676
237,9.60898007362777
238,9.61257229153615
239,9.61607384814181
240,9.61948585560944
241,9.62280941268315
242,9.62604560484838
243,9.62919550449176
244,9.63226017105912
245,9.63524065121156
246,9.63813797897961
247,9.64095317591562
248,9.6436872512442
249,9.64634120201095
250,9.64891601322929
251,9.65141265802561
252,9.65383209778265
253,9.6561752822811
254,9.65844314983954
255,9.66063662745269
256,9.66275663092798
257,9.66480406502048
258,9.66677982356616
259,9.66868478961366
260,9.6705198355543
261,9.67228582325068
