"par","yield_1","yield_2","etr_1","etr_2"
0,0.116,0.793,0,0
39,0.543,0.65,8.89434,10.647
49,0.527,0.655,10.84566,13.4799
62,0.547,0.683,14.24388,17.78532
113,0.534,0.662,25.34364,31.41852
185,0.551,0.649,42.8127,50.4273
241,0.617,0.639,62.45274,64.67958
397,0.684,0.519,114.05016,86.53806
614,0.515,0.351,132.8082,90.51588
946,0.334,0.215,132.70488,85.4238
1453,0.224,0.132,136.69824,80.55432
1796,0.169,0.105,127.48008,79.2036
2232,0.149,0.085,139.67856,79.6824
2750,0.11,0.066,127.05,76.23
