"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
30.01.26;14:07:36;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;14:44:15;P700-Cal.;SK;S_260130_144415; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;14:44:28;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;14:44:28;Manual;SK;S_260130_144428; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;14:44:29;Fo-Det.;Fo;;n.c.;0;;0.0000;0.1556;;;;;;;;;;;;;;;;;;;;;;
30.01.26;14:44:29;Fm-Det.;SP;F_260130_144429_0;n.c.;0;;0.0000;0.1556;0.7716;;0.1548;0.798;;;0.000;0.202;0.000;0.000;0.000;1.000;1.000;0.201;1.000;0.487;2.585;;;;;
30.01.26;14:44:39;Pm.-Det.;SP;F_260130_144439_0;n.c.;0;;0.0000;0.1549;0.7535;;0.1827;0.758;;;0.000;0.237;0.006;0.024;0.028;0.954;0.808;0.237;0.977;4.135;5.929;0.303;0.697;0.000;0.000;
30.01.26;14:45:13;P.+F. SP;SP;F_260130_144513_0;n.c.;26;;0.0000;0.1516;0.6813;;0.2672;0.608;;;6.637;0.346;0.046;0.132;0.140;0.782;0.443;0.346;0.883;0.371;2.426;0.347;0.063;0.591;3.785;
30.01.26;14:45:43;P.+F. SP;SP;F_260130_144543_0;n.c.;36;;0.0000;0.1500;0.6504;;0.2342;0.640;;;9.675;0.304;0.057;0.186;0.188;0.832;0.533;0.304;0.843;0.258;2.321;0.348;0.044;0.609;5.260;
30.01.26;14:46:13;P.+F. SP;SP;F_260130_144613_0;n.c.;49;;0.0000;0.1507;0.6633;;0.2179;0.671;;;13.819;0.282;0.046;0.163;0.168;0.869;0.601;0.282;0.860;0.234;2.361;0.359;0.039;0.602;7.385;
30.01.26;14:46:43;P.+F. SP;SP;F_260130_144643_0;n.c.;100;;0.0000;0.1497;0.6447;;0.2084;0.677;;;28.423;0.270;0.053;0.197;0.196;0.881;0.633;0.270;0.836;0.200;2.481;0.385;0.034;0.582;16.152;
30.01.26;14:47:13;P.+F. SP;SP;F_260130_144713_0;n.c.;172;;0.0000;0.1483;0.6199;;0.2121;0.658;;;47.522;0.275;0.067;0.245;0.234;0.865;0.605;0.275;0.803;0.297;2.825;0.426;0.050;0.523;30.802;
30.01.26;14:47:43;P.+F. SP;SP;F_260130_144743_0;n.c.;228;;0.0000;0.1471;0.5985;;0.2227;0.628;;;60.129;0.289;0.083;0.289;0.267;0.832;0.550;0.289;0.776;0.422;3.219;0.472;0.071;0.457;45.182;
30.01.26;14:48:13;P.+F. SP;SP;F_260130_144813_0;n.c.;384;;0.0000;0.1382;0.4748;;0.2394;0.496;;;79.946;0.310;0.194;0.625;0.454;0.699;0.404;0.310;0.615;0.933;3.828;0.488;0.157;0.354;78.741;
30.01.26;14:48:43;P.+F. SP;SP;F_260130_144843_0;n.c.;601;;0.0000;0.1295;0.3854;;0.2511;0.348;;;87.953;0.325;0.326;1.002;0.585;0.525;0.271;0.325;0.499;1.668;4.406;0.462;0.281;0.257;116.586;
30.01.26;14:49:13;P.+F. SP;SP;F_260130_144913_0;n.c.;933;;0.0000;0.1229;0.3324;;0.2621;0.212;;;82.879;0.340;0.449;1.321;0.660;0.336;0.157;0.340;0.431;2.697;4.979;0.385;0.455;0.160;150.823;
30.01.26;14:49:43;P.+F. SP;SP;F_260130_144943_0;n.c.;1440;;0.0000;0.1189;0.3044;;0.2686;0.118;;;71.078;0.348;0.534;1.535;0.699;0.193;0.085;0.348;0.395;3.752;5.392;0.277;0.633;0.091;167.340;
30.01.26;14:50:13;P.+F. SP;SP;F_260130_145013_0;n.c.;1783;;0.0000;0.1166;0.2901;;0.2652;0.086;;;64.318;0.344;0.570;1.660;0.718;0.144;0.063;0.344;0.376;4.153;5.409;0.212;0.700;0.088;158.562;
30.01.26;14:50:43;P.+F. SP;SP;F_260130_145043_0;n.c.;2219;;0.0000;0.1148;0.2793;;0.2620;0.062;;;57.591;0.340;0.599;1.762;0.733;0.105;0.046;0.340;0.362;4.480;5.443;0.162;0.756;0.082;151.402;
30.01.26;14:51:13;P.+F. SP;SP;F_260130_145113_0;n.c.;2737;;0.0000;0.1133;0.2706;;0.2591;0.043;;;49.042;0.336;0.622;1.851;0.745;0.073;0.032;0.336;0.351;4.760;5.472;0.120;0.803;0.077;138.078;
30.01.26;14:51:43;P.+F. SP;SP;F_260130_145143_0;n.c.;3335;;0.0000;0.1120;0.2633;;0.2560;0.028;;;38.839;0.332;0.640;1.930;0.754;0.048;0.021;0.332;0.341;4.958;5.461;0.085;0.836;0.079;118.773;
30.01.26;14:51:46;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
