"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
30.01.26;12:37:41;P700-Cal.;SK;S_260130_123741; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;12:37:51;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;12:37:52;Manual;SK;S_260130_123752; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
30.01.26;12:37:53;Fo-Det.;Fo;;n.c.;0;;0.0000;0.1615;;;;;;;;;;;;;;;;;;;;;;
30.01.26;12:37:53;Fm-Det.;SP;F_260130_123753_0;n.c.;0;;0.0000;0.1615;0.7300;;0.1732;0.779;;;0.000;0.237;0.000;0.000;0.000;0.979;0.913;0.237;1.000;0.161;0.491;;;;;
30.01.26;12:38:01;Pm.-Det.;SP;F_260130_123801_0;n.c.;0;;0.0000;0.1604;0.7067;;0.1833;0.741;;;0.000;0.251;0.008;0.033;0.039;0.958;0.838;0.251;0.968;0.675;0.757;0.108;0.892;0.000;0.000;
30.01.26;12:38:35;P.+F. SP;SP;F_260130_123835_0;n.c.;39;;0.0000;0.1486;0.5239;;0.3038;0.420;;;6.881;0.416;0.164;0.394;0.340;0.586;0.287;0.416;0.718;0.032;0.402;0.488;0.042;0.470;7.999;
30.01.26;12:39:05;P.+F. SP;SP;F_260130_123905_0;n.c.;49;;0.0000;0.1446;0.4769;;0.2517;0.472;;;9.717;0.345;0.183;0.531;0.415;0.678;0.389;0.345;0.653;0.045;0.433;0.513;0.059;0.428;10.553;
30.01.26;12:39:35;P.+F. SP;SP;F_260130_123935_0;n.c.;62;;0.0000;0.1467;0.5005;;0.2573;0.486;;;12.654;0.352;0.162;0.458;0.378;0.687;0.392;0.352;0.686;0.040;0.417;0.498;0.053;0.450;12.964;
30.01.26;12:40:05;P.+F. SP;SP;F_260130_124005_0;n.c.;113;;0.0000;0.1457;0.4892;;0.2552;0.478;;;22.706;0.350;0.172;0.492;0.396;0.681;0.389;0.350;0.670;0.077;0.451;0.493;0.102;0.405;23.393;
30.01.26;12:40:35;P.+F. SP;SP;F_260130_124035_0;n.c.;185;;0.0000;0.1433;0.4633;;0.2442;0.473;;;36.740;0.335;0.193;0.576;0.437;0.685;0.402;0.335;0.635;0.109;0.532;0.559;0.143;0.297;43.442;
30.01.26;12:41:05;P.+F. SP;SP;F_260130_124105_0;n.c.;241;;0.0000;0.1411;0.4412;;0.2380;0.461;;;46.617;0.326;0.213;0.655;0.472;0.677;0.401;0.326;0.604;0.135;0.511;0.497;0.178;0.325;50.276;
30.01.26;12:41:35;P.+F. SP;SP;F_260130_124135_0;n.c.;397;;0.0000;0.1333;0.3732;;0.2483;0.335;;;55.800;0.340;0.325;0.956;0.578;0.521;0.280;0.340;0.511;0.238;0.616;0.499;0.315;0.187;83.151;
30.01.26;12:42:05;P.+F. SP;SP;F_260130_124205_0;n.c.;614;;0.0000;0.1264;0.3235;;0.2517;0.222;;;57.228;0.345;0.433;1.256;0.653;0.364;0.183;0.345;0.443;0.378;0.697;0.421;0.499;0.079;108.656;
30.01.26;12:42:35;P.+F. SP;SP;F_260130_124235_0;n.c.;946;;0.0000;0.1209;0.2900;;0.2517;0.132;;;52.526;0.345;0.523;1.517;0.703;0.227;0.109;0.345;0.397;0.468;0.701;0.308;0.617;0.075;122.286;
30.01.26;12:43:05;P.+F. SP;SP;F_260130_124305_0;n.c.;1453;;0.0000;0.1170;0.2683;;0.2482;0.075;;;45.766;0.340;0.585;1.720;0.734;0.133;0.063;0.340;0.368;0.542;0.677;0.179;0.716;0.106;109.092;
30.01.26;12:43:35;P.+F. SP;SP;F_260130_124335_0;n.c.;1796;;0.0000;0.1142;0.2541;;0.2400;0.056;;;42.077;0.329;0.616;1.873;0.754;0.101;0.048;0.329;0.348;0.546;0.656;0.145;0.721;0.134;109.093;
30.01.26;12:44:05;P.+F. SP;SP;F_260130_124405_0;n.c.;2232;;0.0000;0.1124;0.2455;;0.2351;0.043;;;39.871;0.322;0.635;1.973;0.766;0.078;0.038;0.322;0.336;0.560;0.644;0.111;0.739;0.150;104.086;
30.01.26;12:44:35;P.+F. SP;SP;F_260130_124435_0;n.c.;2750;;0.0000;0.1108;0.2378;;0.2310;0.029;;;32.931;0.316;0.655;2.070;0.777;0.053;0.026;0.316;0.326;0.562;0.627;0.086;0.742;0.172;99.315;
30.01.26;12:45:05;P.+F. SP;SP;F_260130_124505_0;n.c.;3348;;0.0000;0.1087;0.2282;;0.2238;0.019;;;26.956;0.307;0.674;2.199;0.790;0.037;0.018;0.307;0.313;0.588;0.598;0.013;0.777;0.210;18.123;
30.01.26;12:45:08;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
