"Date";"Time";"Action";"ID";"Name";"Temp";"PAR";"F(I)/Fo calc";"F(I)";"Fo,Fo'";"Fm,Fm'";"FMTm";"F";"Y(II)";"Y(4S)";"k/ocs";"ETR(II)";"Y(NO)";"Y(NPQ)";"NPQ";"qN";"qP";"qL";"F/Fm";"Fm'/Fm";"P700ox";"P700m,P700m'";"Y(I)";"Y(ND)";"Y(NA)";"ETR(I)";
29.01.26;13:55:28;New Report;NR;MR1;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:55:40;P700-Cal.;SK;S_260129_135540; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:55:49;LC-Start;LCB;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:55:49;Manual;SK;S_260129_135549; 0.0;0;;;;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:55:50;Fo-Det.;Fo;; 0.0;0;;0.0000;0.1402;;;;;;;;;;;;;;;;;;;;;;
29.01.26;13:55:51;Fm-Det.;SP;F_260129_135551_0; 0.0;0;;0.0000;0.1402;0.6598;;0.1464;0.787;;;0.000;0.222;0.000;0.000;0.000;0.988;0.946;0.222;1.000;0.158;0.872;;;;;
29.01.26;13:56:00;Pm.-Det.;SP;F_260129_135600_0; 0.0;0;;0.0000;0.1402;0.6378;;0.1598;0.750;;;0.000;0.240;0.010;0.034;0.042;0.961;0.843;0.242;0.967;1.025;1.338;0.234;0.766;0.000;0.000;
29.01.26;13:56:34;P.+F. SP;SP;F_260129_135634_0; 0.0;39;;0.0000;0.1402;0.6023;;0.2040;0.661;;;10.832;0.304;0.035;0.095;0.111;0.862;0.592;0.309;0.913;0.019;0.720;0.524;0.014;0.462;8.583;
29.01.26;13:57:04;P.+F. SP;SP;F_260129_135704_0; 0.0;49;;0.0000;0.1402;0.6080;;0.2160;0.645;;;13.269;0.322;0.033;0.085;0.100;0.838;0.544;0.327;0.921;0.016;0.700;0.511;0.012;0.477;10.521;
29.01.26;13:57:36;P.+F. SP;SP;F_260129_135736_0; 0.0;62;;0.0000;0.1402;0.6161;;0.2004;0.675;;;17.572;0.300;0.025;0.071;0.084;0.874;0.611;0.304;0.934;0.030;0.745;0.534;0.023;0.443;13.909;
29.01.26;13:58:04;P.+F. SP;SP;F_260129_135804_0; 0.0;113;;0.0000;0.1402;0.6038;;0.2091;0.654;;;31.026;0.312;0.035;0.093;0.108;0.851;0.571;0.317;0.915;0.043;0.686;0.481;0.032;0.487;22.823;
29.01.26;13:58:34;P.+F. SP;SP;F_260129_135834_0; 0.0;185;;0.0000;0.1402;0.5832;;0.2041;0.650;;;50.505;0.302;0.048;0.131;0.147;0.856;0.588;0.309;0.884;0.025;0.697;0.503;0.018;0.479;39.046;
29.01.26;13:59:04;P.+F. SP;SP;F_260129_135904_0; 0.0;241;;0.0000;0.1402;0.5658;;0.1948;0.656;;;66.366;0.286;0.058;0.166;0.181;0.872;0.627;0.295;0.857;0.038;0.731;0.518;0.028;0.454;52.388;
29.01.26;13:59:34;P.+F. SP;SP;F_260129_135934_0; 0.0;397;;0.0000;0.1402;0.4576;;0.1935;0.577;;;96.247;0.272;0.151;0.442;0.389;0.832;0.603;0.293;0.694;0.099;0.859;0.568;0.074;0.358;94.718;
29.01.26;14:00:04;P.+F. SP;SP;F_260129_140004_0; 0.0;614;;0.0000;0.1402;0.3371;;0.1883;0.441;;;113.787;0.247;0.311;0.957;0.621;0.756;0.562;0.285;0.511;0.258;1.015;0.565;0.193;0.241;145.812;
29.01.26;14:00:34;P.+F. SP;SP;F_260129_140034_0; 0.0;946;;0.0000;0.1402;0.2689;;0.1912;0.289;;;114.856;0.244;0.467;1.453;0.752;0.604;0.443;0.290;0.408;0.544;1.218;0.504;0.406;0.090;200.267;
29.01.26;14:01:04;P.+F. SP;SP;F_260129_140104_0; 0.0;1453;;0.0000;0.1402;0.2376;;0.1961;0.175;;;106.644;0.256;0.569;1.777;0.813;0.426;0.305;0.297;0.360;0.788;1.264;0.356;0.589;0.055;217.347;
29.01.26;14:01:34;P.+F. SP;SP;F_260129_140134_0; 0.0;1796;;0.0000;0.1402;0.2240;;0.1928;0.139;;;104.801;0.253;0.608;1.946;0.839;0.372;0.270;0.292;0.339;0.862;1.268;0.304;0.644;0.052;228.942;
29.01.26;14:02:04;P.+F. SP;SP;F_260129_140204_0; 0.0;2232;;0.0000;0.1402;0.2131;;0.1908;0.105;;;98.035;0.255;0.641;2.096;0.860;0.306;0.225;0.289;0.323;0.924;1.272;0.260;0.690;0.050;243.721;
29.01.26;14:02:34;P.+F. SP;SP;F_260129_140234_0; 0.0;2750;;0.0000;0.1402;0.2087;;0.1916;0.082;;;94.648;0.260;0.658;2.162;0.868;0.250;0.183;0.290;0.316;0.990;1.269;0.209;0.740;0.051;241.479;
29.01.26;14:02:37;LC-Stop;LCE;LC1;;;;;;;;;;;;;;;;;;;;;;;;;;;
